seed,stagger_span_min,displacement_m,var_snapshot_under_stagger,var_staggered_optimum,regret_std_min,regret_pct,beats_centroid_under_stagger
0,43,0.0,58.96,58.96,0.0,0.0,True
1,56,320.0,106.96,98.4,0.422,8.7,True
2,43,692.1,93.76,73.04,1.137,28.4,True
3,32,0.0,20.24,20.24,0.0,0.0,True
4,40,0.0,166.16,166.16,0.0,0.0,True
5,32,0.0,674.24,674.24,0.0,0.0,True
6,28,0.0,18.64,18.64,0.0,0.0,True
7,52,0.0,50.8,50.8,0.0,0.0,True
8,40,0.0,10.16,10.16,0.0,0.0,True
9,47,0.0,168.96,168.96,0.0,0.0,True
10,39,2173.7,64.16,59.76,0.28,7.4,True
11,25,0.0,109.2,109.2,0.0,0.0,True
12,16,0.0,159.2,159.2,0.0,0.0,True
13,41,0.0,49.04,49.04,0.0,0.0,True
14,32,0.0,585.04,585.04,0.0,0.0,True
15,53,0.0,22.24,22.24,0.0,0.0,True
16,24,0.0,53.44,53.44,0.0,0.0,True
17,46,0.0,137.04,137.04,0.0,0.0,True
18,24,0.0,44.24,44.24,0.0,0.0,True
19,47,692.4,102.64,99.76,0.143,2.9,True
20,48,0.0,158.8,158.8,0.0,0.0,True
21,25,0.0,26.96,26.96,0.0,0.0,True
22,51,320.4,76.96,75.36,0.092,2.1,True
23,37,0.0,21.04,21.04,0.0,0.0,True
24,53,0.0,0.24,0.24,0.0,0.0,True
25,20,0.0,317.2,317.2,0.0,0.0,True
26,43,1450.1,106.0,98.56,0.368,7.5,True
27,57,0.0,49.36,49.36,0.0,0.0,True
28,30,0.0,18.64,18.64,0.0,0.0,True
29,25,0.0,798.16,798.16,0.0,0.0,False
