seed,n_cands,n_pairs_matched,mean_abs_dt_min,displacement_m,var_static,var_live,live_regret_pct
0,30,150,7.74,834.2,24.96,34.96,33.4
1,30,150,8.43,911.2,17.44,10.56,3.8
2,30,150,9.06,1511.2,24.24,33.04,10.7
3,30,150,7.75,2993.7,69.44,54.16,17.7
4,30,150,10.25,1450.4,99.84,48.16,61.6
5,30,150,7.07,910.8,95.2,54.96,1.9
7,30,150,8.39,0.0,55.76,54.16,0.0
8,30,150,8.05,3065.0,62.4,78.4,18.4
9,30,150,4.44,875.3,16.96,26.16,38.2
10,30,150,4.87,835.4,39.44,11.2,14.3
11,30,150,11.43,1749.6,112.16,13.76,169.2
12,30,150,7.55,0.0,24.96,5.84,0.0
13,30,150,8.66,0.0,85.84,35.6,0.0
14,30,150,8.18,0.0,31.04,5.36,0.0
