seed,minsum_mean,minsum_variance,gamma,op_mean,op_variance,mean_gap_pct,variance_reduction_pct
0,29.4,262.24,32.0,29.8,206.56000000000003,1.3605442176870821,21.232458816351425
1,23.0,212.8,32.0,23.6,182.24,2.6086956521739193,14.360902255639097
2,26.6,111.44000000000001,16.0,27.6,94.24000000000001,3.7593984962406015,15.434314429289303
3,22.6,271.84000000000003,0.0,23.4,20.24,3.539823008849545,92.55444379046499
4,41.0,258.8,0.0,42.8,165.35999999999999,4.390243902439018,36.105100463678525
5,47.2,1340.16,16.0,48.0,716.0,1.694915254237282,46.573543457497614
6,26.2,177.76000000000002,32.0,26.2,177.76000000000002,0.0,0.0
7,22.6,37.84,0.5,22.6,37.84,0.0,0.0
8,8.0,30.8,64.0,8.0,30.8,0.0,0.0
9,42.8,1062.16,16.0,45.8,205.35999999999999,7.009345794392524,80.66581306017925
10,24.0,240.8,8.0,26.0,88.8,8.333333333333334,63.12292358803987
11,26.6,401.84000000000003,8.0,29.0,121.2,9.022556390977439,69.83874178777623
12,31.0,308.0,4.0,32.0,164.0,3.225806451612903,46.753246753246756
13,17.4,197.83999999999997,4.0,18.4,52.24000000000001,5.74712643678161,73.59482410028305
14,42.0,868.8,32.0,44.0,645.2,4.761904761904762,25.736648250460398
15,8.8,103.35999999999999,32.0,8.8,103.35999999999999,0.0,0.0
16,32.0,770.0,64.0,34.2,128.56,6.875000000000009,83.30389610389611
17,38.2,399.76,16.0,39.8,146.16000000000003,4.188481675392655,63.43806283770262
18,25.0,178.0,4.0,25.2,51.760000000000005,0.7999999999999972,70.92134831460675
19,27.2,208.56000000000003,8.0,28.0,109.2,2.941176470588238,47.64096662830841
